camera_axis_Q7411	has_manufacturer	axis
router_TP-LINK_WR740N	is_type	router
router_asus_RT-AX58U	is_type	router
router_TP-LINK_WR841N	has_manufacturer	TP-LINK
banner_2e914e87	indicates_device	router_asus_RT-AX68U
printer_sharp_Information	is_type	printer
router_asus_RT-AC88U	has_model	RT-AC88U
banner_ac44b184	indicates_device	camera_axis
banner_5d6d6271	indicates_device	router_netgear_wnr2200
router_asus_4G-AC68U	has_model	4G-AC68U
camera_axis_Q7411	has_manufacturer	axis
router_netgear_WAC104	is_type	router
router_netgear_WNR2000v2	has_manufacturer	netgear
camera_axis_M3004	has_model	M3004
router_asus_RT-AC86U	is_type	router
router_asus_RT-AC88U	has_manufacturer	asus
router_asus_RT-AX56U	is_type	router
banner_f9adcc57	indicates_device	printer_sharp_Information
banner_3d75f244	indicates_device	router_TP-LINK_WR842ND
router_asus_RT-AC86U	has_manufacturer	asus
router_asus_TUF-AX5400	has_manufacturer	asus
router_TP-LINK_WR940N	has_manufacturer	TP-LINK
router_asus_RT-AC68U	has_model	RT-AC68U
router_asus_RT-AC68U	has_model	RT-AC68U
router_TP-LINK_WR841N	has_manufacturer	TP-LINK
router_TP-LINK_WR740N	is_type	router
router_netgear_WNR2000v3	has_manufacturer	netgear
camera_axis_241Q	has_manufacturer	axis
banner_3c3afebf	indicates_device	router_asus_RT-AC85P
router_asus_RT-N66U	has_manufacturer	asus
banner_6f801662	indicates_device	router_netgear_DG834
router_netgear_C7000v2	has_manufacturer	netgear
banner_9d2756e0	indicates_device	router_asus_RT-N18U
router_asus_RT-N66U	is_type	router
router_netgear_DGN2200v2BEZEQ	has_manufacturer	netgear
router_asus_GT-AC2900	has_model	GT-AC2900
banner_618a38c7	indicates_device	router_asus_RT-AX3000
router_asus_RT-AC3200	is_type	router
router_asus_RT-AC5300	has_model	RT-AC5300
router_TP-LINK_WR940N	has_manufacturer	TP-LINK
router_asus_RT-AX86U	has_manufacturer	asus
router_asus_TUF-AX3000	has_model	TUF-AX3000
printer_sharp_DX-2008UC	is_type	printer
router_netgear_DG834	has_model	DG834
camera_axis_M3004	is_type	camera
router_asus_GT-AX6000	is_type	router
router_asus_RT-AC3200	is_type	router
router_netgear_WNR2000v5	has_model	WNR2000v5
banner_37f93b82	indicates_device	camera_axis_Q6035-E
router_asus_RT-AX86U	has_model	RT-AX86U
camera_axis_Q1931-E	is_type	camera
router_netgear_DG834	has_model	DG834
banner_abb6f2b9	indicates_device	router_asus_RT-AX86U_Pro
banner_8818cff8	indicates_device	access_point_netgear_wnr2000v4
router_asus_RT-AX3000	has_manufacturer	asus
router_asus_DSL-AC68U	has_manufacturer	asus
banner_a51ffd69	indicates_device	printer_sharp_MX-M264N
router_TP-LINK_WR940N	has_model	WR940N
router_netgear_R6900v2	has_manufacturer	netgear
router_netgear_Orbi-micro	has_manufacturer	netgear
banner_c626012d	indicates_device	router_asus_RT-AC68U
router_asus_RT-AC1200G+	has_model	RT-AC1200G+
router_asus_RT-AX56U	is_type	router
banner_85fbc057	indicates_device	router_netgear_D6200
printer_sharp_Information	is_type	printer
banner_32449345	indicates_device	router_TP-LINK_WR740N
banner_11963361	indicates_device	router_TP-LINK_WR841HP
router_asus_RT-AC68U	has_model	RT-AC68U
router_asus_RT-AX58U	is_type	router
printer_sharp_MX-M363N	has_model	MX-M363N
router_asus_TUF-AX3000_V2	is_type	router
router_asus_RT-AC86U	has_manufacturer	asus
banner_178b54c6	indicates_device	router_TP-LINK_WR841N
router_asus_RT-AX82U	is_type	router
router_asus_GT-AX11000	has_manufacturer	asus
banner_78a9dd20	indicates_device	router_asus_RT-AC86U
router_asus_RT-AC51U	has_model	RT-AC51U
router_netgear_CG3700EMR-1CMNDS	has_manufacturer	netgear
banner_40dd85f2	indicates_device	router_asus_RT-AC87U
router_asus_TUF-AX6000	is_type	router
banner_f2a59d28	indicates_device	router_asus_RT-AC86U
router_asus_TUF-AX5400	has_manufacturer	asus
router_TP-LINK_WR940N	has_manufacturer	TP-LINK
router_asus_TM-AC1900	has_manufacturer	asus
router_asus_TM-AC1900	has_manufacturer	asus
camera_axis_M2025-LE	has_manufacturer	axis
camera_axis_M1125	is_type	camera
camera_axis_Q7401	is_type	camera
camera_axis_M7011	has_manufacturer	axis
banner_a567b9ee	indicates_device	router_asus_RT-AC51U
banner_b6e9c7a2	indicates_device	router_asus_RT-N18U
router_asus_RT-AX88U	has_model	RT-AX88U
banner_28abf212	indicates_device	router_netgear_R8000P
